CITY,REGION,STATE,ZIP-CODE,SEGMENT,SHIPMENT-MODE,ITEMS,SUB-ITEMS,QUANTITY,DISCOUNT,SALES,PROFIT
Henderson,South,KY,42420,Consumer,Second Class,Furniture,Bookcases,3,0.1,262.76,42.939
Los Angeles,West,CA,90036,Corporate,Second Class,Office Supplies,Labels,3,0.1,15.02,7.8968
Fort Lauderdale,South,FL,33311,Consumer,Standard Class,Furniture,Tables,6,0.55,957.9775,-382.0056
Fort Lauderdale,South,FL,33311,Consumer,Standard Class,Office Supplies,Storage,3,0.3,22.768,3.5418
Los Angeles,West,CA,90032,Consumer,Standard Class,Furniture,Furnishings,8,0.1,49.26,15.1948
Los Angeles,West,CA,90032,Consumer,Standard Class,Office Supplies,Art,5,0.1,7.68,2.991
Los Angeles,West,CA,90032,Consumer,Standard Class,Technology,Phones,7,0.3,907.552,91.7406
Los Angeles,West,CA,90032,Consumer,Standard Class,Office Supplies,Binders,4,0.3,18.904,6.8079
Los Angeles,West,CA,90032,Consumer,Standard Class,Office Supplies,Appliances,6,0.1,115.3,35.4954
Los Angeles,West,CA,90032,Consumer,Standard Class,Furniture,Tables,10,0.3,1706.584,86.3346
Los Angeles,West,CA,90032,Consumer,Standard Class,Technology,Phones,5,0.3,911.824,69.3822
Concord,South,NC,28027,Consumer,Standard Class,Office Supplies,Paper,4,0.3,15.952,6.4686
Seattle,West,WA,98103,Consumer,Standard Class,Office Supplies,Binders,4,0.3,408.376,133.6176
Fort Worth,Central,TX,76106,Home Office,Standard Class,Office Supplies,Appliances,6,0.9,69.21,-122.8326
Fort Worth,Central,TX,76106,Home Office,Standard Class,Office Supplies,Binders,4,0.9,2.944,-2.7906
Madison,Central,WI,53711,Consumer,Standard Class,Office Supplies,Storage,7,0.1,666.28,14.343
West Jordan,West,UT,84084,Consumer,Second Class,Office Supplies,Storage,3,0.1,55.9,11.0154
San Francisco,West,CA,94109,Consumer,Second Class,Office Supplies,Art,3,0.1,8.96,3.5078
San Francisco,West,CA,94109,Consumer,Second Class,Technology,Phones,4,0.3,213.88,17.0364
San Francisco,West,CA,94109,Consumer,Second Class,Office Supplies,Binders,5,0.3,23.12,8.4094
Fremont,Central,NE,68025,Corporate,Standard Class,Office Supplies,Art,8,0.1,19.86,6.085
Fremont,Central,NE,68025,Corporate,Standard Class,Office Supplies,Appliances,8,0.1,60.74,16.7138
Philadelphia,East,PA,19140,Consumer,Second Class,Furniture,Chairs,3,0.4,71.772,0.0058
Orem,West,UT,84057,Consumer,Standard Class,Furniture,Tables,4,0.1,1045.03,241.2903
Los Angeles,West,CA,90049,Consumer,Second Class,Office Supplies,Binders,3,0.3,12.048,5.2478
Los Angeles,West,CA,90049,Consumer,Second Class,Technology,Accessories,4,0.1,90.97,12.7995
Philadelphia,East,PA,19140,Consumer,Standard Class,Furniture,Bookcases,8,0.6,3083.83,-1664.0268
Philadelphia,East,PA,19140,Consumer,Standard Class,Office Supplies,Binders,3,0.8,10.018,-6.0278
Philadelphia,East,PA,19140,Consumer,Standard Class,Furniture,Furnishings,4,0.3,124.6,16.5504
Philadelphia,East,PA,19140,Consumer,Standard Class,Office Supplies,Envelopes,3,0.3,3.664,2.127
Philadelphia,East,PA,19140,Consumer,Standard Class,Office Supplies,Art,7,0.3,86.704,10.7346
Philadelphia,East,PA,19140,Consumer,Standard Class,Office Supplies,Binders,7,0.8,7.258,-4.6896
Philadelphia,East,PA,19140,Consumer,Standard Class,Office Supplies,Art,3,0.3,16.16,4.5714
Houston,Central,TX,77095,Home Office,Second Class,Office Supplies,Paper,4,0.3,29.872,10.9722
Richardson,Central,TX,75080,Corporate,First Class,Technology,Phones,8,0.3,1097.944,124.4991
Richardson,Central,TX,75080,Corporate,First Class,Furniture,Furnishings,6,0.7,191.32,-146.9376
Houston,Central,TX,77041,Home Office,Standard Class,Office Supplies,Envelopes,10,0.3,113.728,36.4404
Houston,Central,TX,77041,Home Office,Standard Class,Furniture,Bookcases,4,0.42,532.7992,-45.951
Houston,Central,TX,77041,Home Office,Standard Class,Furniture,Chairs,4,0.4,212.458,-14.1216
Houston,Central,TX,77041,Home Office,Standard Class,Technology,Phones,5,0.3,371.568,42.7818
Naperville,Central,IL,60540,Corporate,Standard Class,Technology,Phones,5,0.3,147.568,17.5818
Los Angeles,West,CA,90049,Corporate,Standard Class,Office Supplies,Storage,3,0.1,78.28,4.9194
Melbourne,South,FL,32935,Corporate,Standard Class,Office Supplies,Storage,3,0.3,96.016,10.587
Eagan,Central,MN,55122,Corporate,First Class,Technology,Accessories,3,0.1,46.38,20.7968
Eagan,Central,MN,55122,Corporate,First Class,Office Supplies,Binders,3,0.1,17.86,9.2316
Westland,Central,MI,48185,Consumer,Second Class,Office Supplies,Storage,5,0.1,212.36,9.5038
Dover,East,DE,19901,Consumer,Standard Class,Technology,Accessories,4,0.1,45.4,5.9754
Dover,East,DE,19901,Consumer,Standard Class,Technology,Phones,3,0.1,22.2,7.1294
New Albany,Central,IN,47150,Consumer,Standard Class,Office Supplies,Binders,7,0.1,38.62,18.9888
New Albany,Central,IN,47150,Consumer,Standard Class,Office Supplies,Labels,7,0.1,75.58,36.36
New Albany,Central,IN,47150,Consumer,Standard Class,Furniture,Furnishings,3,0.1,6.56,3.9822
New Albany,Central,IN,47150,Consumer,Standard Class,Furniture,Chairs,2,0.1,90.39,18.1235
New York City,East,NY,10024,Corporate,Standard Class,Office Supplies,Fasteners,8,0.1,15.66,7.282
New York City,East,NY,10024,Corporate,Standard Class,Technology,Phones,6,0.1,1030.35,299.7109
Troy,East,NY,12180,Consumer,First Class,Office Supplies,Storage,7,0.1,208.96,53.1654
Troy,East,NY,12180,Consumer,First Class,Office Supplies,Paper,6,0.1,32.8,16.5774
Troy,East,NY,12180,Consumer,First Class,Furniture,Chairs,6,0.2,319.81,8.1234
Troy,East,NY,12180,Consumer,First Class,Office Supplies,Paper,3,0.1,14.96,8.0142
Troy,East,NY,12180,Consumer,First Class,Technology,Accessories,3,0.1,30.4,4.3254
Troy,East,NY,12180,Consumer,First Class,Office Supplies,Binders,5,0.3,48.88,17.3874
Troy,East,NY,12180,Consumer,First Class,Office Supplies,Art,2,0.1,2.08,1.8654
Los Angeles,West,CA,90004,Consumer,Standard Class,Technology,Accessories,3,0.1,14.38,7.1766
Los Angeles,West,CA,90004,Consumer,Standard Class,Office Supplies,Binders,7,0.3,26.224,10.3866
Los Angeles,West,CA,90004,Consumer,Standard Class,Office Supplies,Paper,4,0.1,147.13,69.9885
Los Angeles,West,CA,90004,Consumer,Standard Class,Furniture,Furnishings,5,0.1,80.16,23.3582
Chicago,Central,IL,60610,Home Office,Standard Class,Furniture,Chairs,6,0.4,213.515,-14.1971
Gilbert,West,AZ,85234,Corporate,Standard Class,Office Supplies,Art,9,0.3,1113.424,112.3278
Gilbert,West,AZ,85234,Corporate,Standard Class,Technology,Phones,5,0.3,168.368,64.0134
Springfield,South,VA,22153,Consumer,First Class,Office Supplies,Paper,3,0.1,76.28,36.689
New York City,East,NY,10009,Consumer,Standard Class,Office Supplies,Binders,2,0.3,5.016,2.7564
Jackson,Central,MI,49201,Consumer,Second Class,Office Supplies,Paper,4,0.1,19.45,9.7884
Memphis,South,TN,38109,Consumer,Standard Class,Furniture,Chairs,9,0.3,832.336,-113.3658
Memphis,South,TN,38109,Consumer,Standard Class,Furniture,Furnishings,3,0.3,97.44,2.2384
Memphis,South,TN,38109,Consumer,Standard Class,Office Supplies,Storage,2,0.3,73.184,-17.1706
Houston,Central,TX,77041,Corporate,First Class,Office Supplies,Binders,4,0.9,1.648,-0.909
Houston,Central,TX,77041,Corporate,First Class,Furniture,Furnishings,4,0.7,10.108,-4.7994
Houston,Central,TX,77041,Corporate,First Class,Office Supplies,Storage,4,0.3,27.64,3.7494
Houston,Central,TX,77070,Consumer,Second Class,Furniture,Furnishings,6,0.7,19.7,-13.4496
Decatur,South,AL,35601,Corporate,First Class,Office Supplies,Appliances,2,0.1,208.56,57.2286
